№;ФИО;Номер телефона;Количество минут, оплаченных абонентом;Количество минут, которые наговорил абонент;Стоимость дополнительной минуты;Адрес;Сумма, оплаченная за дополнительные минуты
1058;Артемьева Эмилия Ильинична;8 (761) 026-2947;315;509;33;д. Орск, бул. Кутузова, д. 6 стр. 793, 591761;6402
1059;Матвеева Кира Альбертовна;8 746 316 73 05;378;464;2;с. Воркута, пр. Майский, д. 4/2 к. 604, 716985;172
1060;Григорьев Роман Марсович;8 (592) 509-6280;400;433;3;п. Анива, ул. Курская, д. 9/3, 738503;99
1061;Григорьев Святополк Витальевич;8 344 088 6656;198;535;38;г. Соликамск, бул. Толбухина, д. 668 к. 8/9, 574794;12806
1062;Быкова Любовь Феликсовна;81634241387;408;82;32;с. Вологда, наб. Кавказская, д. 9/1, 859093;0
1063;Октябрина Робертовна Сергеева;+7 931 958 65 77;136;561;16;ст. Бронницы, наб. Владимирская, д. 5/7 к. 540, 078808;6800
1064;Мокей Григорьевич Мельников;+70167446617;140;211;44;ст. Адлер, бул. Степной, д. 6 к. 72, 440821;3124
1065;Шубин Терентий Андреевич;8 488 598 42 27;466;544;43;клх Куртамыш, ш. 8-е Марта, д. 3, 107456;3354
1066;Суворова Елена Вениаминовна;8 (117) 708-6968;337;298;13;ст. Осташков, ул. Тельмана, д. 69, 671660;0
1067;Коновалова Евдокия Олеговна;8 205 913 76 14;314;222;29;клх Дзержинск, пер. Гайдара, д. 5/1 к. 2, 564134;0
1068;Ирина Эдуардовна Сысоева;8 (772) 376-24-56;186;190;11;г. Железногорск(Курск.), бул. Мичурина, д. 9 к. 85, 910323;44
1069;Евпраксия Кирилловна Смирнова;+7 379 038 1894;408;189;44;п. Нефтеюганск, пр. Коммунистический, д. 919 к. 6/8, 813116;0
1070;Олимпиада Рубеновна Иванова;+7 399 079 6817;242;438;37;ст. Кунгур, пр. Сенной, д. 4/7 стр. 5/9, 343591;7252
1071;Сафонова Виктория Олеговна;+7 (149) 041-6070;293;153;43;г. Лотошино, наб. Гончарова, д. 5/3, 372876;0
1072;Прасковья Эдуардовна Гаврилова;82836246028;45;168;26;с. Шамары, ул. Гвардейская, д. 8/2 стр. 6/5, 860327;3198
1073;Людмила Эдуардовна Исаева;+7 (463) 379-7075;443;528;13;клх Орск, наб. Циолковского, д. 5/4 к. 158, 964090;1105
1074;Анна Руслановна Михайлова;+7 (285) 687-1660;128;13;1;г. Орск, алл. Каштановая, д. 1/5, 142663;0
1075;Щукина Фаина Святославовна;+7 (184) 515-98-79;457;322;23;д. Снежногорск (Мурм.), наб. Студенческая, д. 4/5, 253085;0
1076;Фаина Тимофеевна Алексеева;8 (955) 106-4774;86;557;47;к. Партизанск, наб. Светлая, д. 3/2 стр. 571, 464564;22137
1077;Гаврила Исидорович Якушев;8 465 186 7000;53;370;22;ст. Беломорск, наб. Кедровая, д. 822 стр. 56, 669255;6974
1078;Фадей Харлампович Трофимов;+7 (411) 159-46-71;272;554;23;ст. Архангельск, пр. Революционный, д. 6 стр. 2, 107806;6486
1079;Соловьев Демьян Эдуардович;+7 706 871 96 18;143;548;5;г. Белоярский, пер. Степной, д. 4/7 к. 5, 578512;2025
1080;Василиса Наумовна Гордеева;+7 (032) 236-17-94;272;150;39;к. Токсово, ул. Шолохова, д. 917 к. 7, 370412;0
1081;Марфа Федоровна Селиверстова;8 (445) 465-7449;105;9;3;ст. Железногорск(Курск.), пер. 30 лет Победы, д. 2/2 стр. 6, 313697;0
1082;Ратибор Артёмович Антонов;+7 324 382 3749;305;395;35;г. Благовещенск (Амур.), алл. О.Кошевого, д. 78, 904702;3150
1083;Зыкова Антонина Геннадиевна;+7 (266) 294-92-87;65;506;4;к. Усть-Кулом, ул. Урожайная, д. 3 к. 37, 455143;1764
1084;Колесников Емельян Даниилович;8 (006) 754-5262;362;116;36;с. Урус-Мартан, ул. Школьная, д. 5 стр. 83, 709369;0
1085;Нина Матвеевна Галкина;8 831 362 54 57;68;514;40;д. Сарапул, ш. Чкалова, д. 938, 312216;17840
1086;Селезнева Нина Павловна;8 (613) 002-65-26;420;389;6;д. Тамбей, ш. Транспортное, д. 2/1 стр. 1, 429215;0
1087;тов. Блохин Фока Игнатьевич;+7 (058) 582-08-77;27;259;32;ст. Волгоград, пер. Республиканский, д. 989 стр. 77, 414022;7424
1088;Артем Эдгардович Цветков;+71160285226;187;576;10;с. Неплюевка, алл. Мая 1, д. 769, 140421;3890
1089;Алексеев Михей Тарасович;+7 581 323 7898;98;554;15;п. Билибино, пер. Сахалинский, д. 3 к. 6, 290370;6840
1090;Азарий Жанович Борисов;8 (479) 328-4964;90;20;38;г. Плесецк, наб. Красная, д. 41 стр. 6/5, 711005;0
1091;Овчинникова Татьяна Леоновна;81880308473;205;326;25;д. Тимашевск, наб. Ленинская, д. 228 к. 1, 529464;3025
1092;Сафонова Жанна Макаровна;8 369 642 51 72;495;160;29;к. Киренск, ул. Ленинградская, д. 3/7 к. 8, 306638;0
1093;Светлана Игоревна Дорофеева;+76795223358;22;333;28;г. Курчатов, наб. Коммунаров, д. 2 к. 4, 556015;8708
1094;Иванов Демид Виленович;8 (341) 693-0616;31;482;43;клх Карпинск, пр. Кутузова, д. 2/3 к. 95, 623395;19393
1095;Борислав Денисович Савельев;+7 431 951 5755;160;284;32;клх Ржев, алл. 70 лет Октября, д. 68, 892451;3968
1096;Турова Анастасия Захаровна;+7 428 381 8893;345;24;37;с. Грозный, алл. Тракторная, д. 6/3, 993198;0
1097;Константинова Любовь Михайловна;88561064567;147;116;42;ст. Кудымкар, наб. Свободы, д. 768, 614843;0
1098;Милица Тимуровна Шубина;+7 (394) 767-30-14;219;283;7;ст. Ульяновск, ул. Тракторная, д. 971 к. 11, 460314;448
1099;Красильников Галактион Абрамович;+7 431 166 79 62;122;360;10;ст. Валаам, ш. Тюленина, д. 42, 198138;2380
1100;Федосеева Александра Кирилловна;+76258253763;450;595;32;п. Гдов, ул. Полевая, д. 3 стр. 6/1, 539152;4640
1101;Лора Матвеевна Исаева;+7 772 789 1207;180;326;6;д. Бреды, пр. Глинки, д. 37 стр. 2/5, 317728;876
1102;Игнатова Марина Георгиевна;8 892 192 2677;370;356;37;клх Макаров, бул. Заливный, д. 677 стр. 9, 035514;0
1103;Вероника Эдуардовна Елисеева;8 220 615 07 59;325;476;22;ст. Углегорск, пер. Владимирский, д. 924, 428730;3322
1104;Куликова Василиса Константиновна;+7 238 885 48 64;253;421;5;с. Наро-Фоминск, пр. Морской, д. 3/8 стр. 745, 051801;840
1105;Марков Панфил Фадеевич;8 878 992 87 85;197;552;48;ст. Далматово, ш. Профсоюзное, д. 986 стр. 7, 353987;17040
1106;Лукия Матвеевна Евдокимова;8 (137) 033-24-52;142;424;10;с. Чокурдах, пр. Производственный, д. 2/7 стр. 1, 658231;2820
1107;Марфа Антоновна Суворова;8 (880) 917-25-93;352;594;11;с. Зеленоград, ш. Чехова, д. 638, 419362;2662
1108;Молчанов Никодим Давыдович;+7 (979) 123-21-90;167;138;8;клх Морозовск, ул. Заливная, д. 2/3, 434045;0
1109;Некрасов Климент Ефстафьевич;8 (455) 034-28-08;446;341;39;г. Петропавловск-Камчатский, пр. Войкова, д. 163, 261177;0
1110;Иванна Васильевна Кириллова;+7 (708) 122-6232;318;272;45;с. Шатура, наб. Короленко, д. 4/9, 248846;0
1111;Константинова Евгения Захаровна;+7 003 879 33 96;462;497;18;ст. Макаров, пр. Белорусский, д. 3 к. 4/6, 233539;630
1112;Давыд Изотович Тарасов;+7 (010) 947-4200;171;83;27;ст. Иркутск, ш. Вавилова, д. 3/3 к. 108, 545275;0
1113;Журавлева Алина Ивановна;8 882 823 9855;452;406;44;к. Чебаркуль, наб. М.Горького, д. 2 к. 7/7, 213689;0
1114;Остап Андреевич Федосеев;85627226678;373;590;47;к. Нижнекамск, пр. 60 лет Октября, д. 4 к. 54, 426118;10199
1115;Эрнст Димитриевич Красильников;+7 005 415 9283;346;8;16;клх Малоярославец, ш. Главное, д. 544 стр. 60, 338219;0
1116;Крылов Никодим Артурович;+7 372 904 88 40;285;258;21;с. Беломорск, ул. Транспортная, д. 2 к. 1, 875425;0
1117;Константинов Виталий Фомич;+7 (371) 108-91-08;90;162;3;ст. Тосно, пер. Березовый, д. 7/2, 854207;216
1118;Евстафий Аксёнович Киселев;85181282940;111;194;46;с. Баксан, пр. Логовой, д. 5/3 стр. 64, 149232;3818
1119;Мария Максимовна Сидорова;+7 665 829 33 35;361;383;2;клх Красноуральск, ул. Р.Люксембург, д. 596 к. 4/2, 748291;44
1120;г-н Баранов Фирс Викторович;87942990309;267;555;39;п. Шахты, пер. Иванова, д. 29 стр. 5/5, 076654;11232
1121;Романова Олимпиада Александровна;89411056654;374;262;33;ст. Приморско-Ахтарск, ул. Крайняя, д. 39 стр. 188, 422609;0
1122;Кудрявцев Виктор Яковлевич;+79445402530;471;106;41;к. Сергиев Посад, пр. Приморский, д. 7/4 к. 5/9, 125368;0
1123;Людмила Болеславовна Петрова;8 (313) 466-03-43;280;474;21;к. Клин, ул. Ясная, д. 491 стр. 63, 523152;4074
1124;Кузьмина Тамара Максимовна;+7 633 803 87 18;312;439;21;клх Кандалакша, пер. Родниковый, д. 64 стр. 9/1, 627833;2667
1125;Богданов Селиверст Яковлевич;87856339997;322;244;23;к. Губкинский, бул. Специалистов, д. 5/8 стр. 3, 031837;0
1126;Тихонов Нестор Тимурович;+7 (425) 813-47-54;490;244;8;клх Красногорск (Моск.), ш. Малиновое, д. 901, 605948;0
1127;Павел Тихонович Якушев;+7 (648) 683-8307;378;370;26;к. Амурск, алл. Строителей, д. 572 стр. 8, 750120;0
1128;Аксенов Лонгин Васильевич;8 225 199 2722;138;369;17;д. Апшеронск, пр. Высоцкого, д. 160 стр. 506, 926907;3927
1129;Анисим Фадеевич Веселов;8 081 718 83 07;62;479;8;п. Калуга, пер. Шахтерский, д. 9 стр. 8/2, 550980;3336
1130;Мартьян Иосипович Лебедев;8 (822) 288-54-86;99;356;46;п. Кимры, бул. Рябиновый, д. 61, 413809;11822
1131;Ангелина Валериевна Матвеева;+7 (399) 882-1624;318;257;36;г. Лабинск, бул. Тополиный, д. 724 к. 6/2, 385048;0
